question,answer,question_type,image
How many days do we have in a week?,Seven,General Knowledge For Kids,
How many days are there in a normal year?,365 (not a leap year),General Knowledge For Kids,
How many colors are there in a rainbow?,7,General Knowledge For Kids,
Which animal is known as the ‘Ship of the Desert?’,Camel,General Knowledge For Kids,
How many letters are there in the English alphabet?,26,General Knowledge For Kids,
How many consonants are there in the English alphabet?,21,General Knowledge For Kids,
How many sides are there in a triangle?,Three,General Knowledge For Kids,
Which month of the year has the least number of days?,February,General Knowledge For Kids,
Which are the vowels in the English alphabet series?,"A, E, I, O, U",General Knowledge For Kids,
Which animal is called King of Jungle?,Lion,General Knowledge For Kids,
How many primary colors are there?,"Three (red, yellow, blue)",General Knowledge For Kids,
How many days are there in the month of February in a leap year?,29 days,General Knowledge For Kids,
What do you call a house made of ice?,Igloo,General Knowledge For Kids,
Which is the largest animal in the world?,Blue whale,General Knowledge For Kids,
Which is the tallest animal on the earth?,Giraffe,General Knowledge For Kids,
Which festival is known as the festival of colors?,Holi,General Knowledge For Kids,
Which festival is called the festival of light?,Diwali,General Knowledge For Kids,
What is the top color in a rainbow?,Red,General Knowledge For Kids,
What type of bird lays the largest eggs?,Ostrich,General Knowledge For Kids,
Which festival is known as the ‘Festival of flowers’?,Onam,General Knowledge For Kids,
In which direction does the sunrise?,East,General Knowledge For Kids,
Which is the world’s largest flower?,Rafflesia,General Knowledge For Kids,
How many zeros are there in one hundred thousand?,Five,General Knowledge For Kids,
How many hours are there in two days?,48 hours (24+24),General Knowledge For Kids,
How many months of the year have 31 days?,"7 (January, March, May, July, August, October and December)",General Knowledge For Kids,
How many weeks are there in one year?,52,General Knowledge For Kids,
Which are the colors in a rainbow?,"Violet, Indigo, Blue, Green, Yellow, Orange, Red",General Knowledge For Kids,
How many bones does an adult human have?,206,General Knowledge For Kids,
Who was the first man to walk on the moon?,Neil Armstrong,General Knowledge For Kids,
How many millimeters are there in 1cm?,10,General Knowledge For Kids,
Which is the nearest star to planet earth?,Sun,General Knowledge For Kids,
Which is the longest river on the earth?,Nile,General Knowledge For Kids,
Which is the principal source of energy for earth?,Sun,General Knowledge For Kids,
How many lungs does the human body have?,Two,General Knowledge For Kids,
What is the standard taste of the water?,Water is tasteless,General Knowledge For Kids,
Which is the tallest mountain in the world?,Mount Everest,General Knowledge For Kids,
Which is the fastest animal on the land?,Cheetah,General Knowledge For Kids,
Which continent is known as ‘Dark’ continent?,Africa,General Knowledge For Kids,
Which planet is known as the Red Planet?,Mars,General Knowledge For Kids,
Which is the most sensitive organ in our body?,Skin,General Knowledge For Kids,
Which is the largest ocean in the world?,Pacific Ocean,General Knowledge For Kids,
Which day is observed as World Environment Day?,June 5,General Knowledge For Kids,
How many years are there in a century?,One Hundred,General Knowledge For Kids,
Which is the largest country in the world?,Russia (By area),General Knowledge For Kids,
Who invented the Computer?,Charles Babbage,General Knowledge For Kids,
How many players are there in a cricket team?,11,General Knowledge For Kids,
Which day is observed as World Literacy Day?,September 8,General Knowledge For Kids,
Who is the inventor of Radio?,Marconi,General Knowledge For Kids,
Which place is known as the roof of the world?,Tibet,General Knowledge For Kids,
How many teeth does a healthy adult have including the wisdom teeth?,32,General Knowledge For Kids,
Which gas is most abundant in the earth’s atmosphere?,Nitrogen,General Knowledge For Kids,
How many people are there in the world?,Over 7 billion,General Knowledge For Kids,
Which is the continent with the most number of countries?,Africa,General Knowledge For Kids,
Which is the most common non-contagious disease in the world?,Tooth Decay,General Knowledge For Kids,
How many strings does a violin have?,Four,General Knowledge For Kids,
How many planets are there in our solar system?,8,General Knowledge For Kids,
Which is the hottest continent on Earth?,Africa,General Knowledge For Kids,
Which is the smallest continent in the world?,Australia,General Knowledge For Kids,
How many years are there in a millennium?,1000,General Knowledge For Kids,
Which country is home to the kangaroo?,Australia,General Knowledge For Kids,
Who painted the Mona Lisa?,Leonardo da Vinci,General Knowledge For Kids,
Who invented the telephone?,Alexander Graham Bell,General Knowledge For Kids,
What does the Internet prefix WWW stand for?,World Wide Web,General Knowledge For Kids,
How much of Earth’s surface is covered by ocean?,71%,General Knowledge For Kids,
Who discovered Penicillin in 1928?,Alexander Fleming,General Knowledge For Kids,
How many stars are there in the American flag?,50,General Knowledge For Kids,
What do you call a type of shape that has five sides?,Pentagon,General Knowledge For Kids,
"Which way is anti-clockwise, left or right?",Left,General Knowledge For Kids,
How many equal sides does an isosceles triangle have?,2,General Knowledge For Kids,
Which is the coldest location in the earth?,East Antarctica,General Knowledge For Kids,
Who discovered electricity?,Benjamin Franklin,General Knowledge For Kids,
Which is the most widely spoken language in the world?,Mandarin (Chinese),General Knowledge For Kids,
Which two parts of the body continue to grow for your entire life?,Nose and Ears,General Knowledge For Kids,
The largest ‘Democracy’ in the world?,India,General Knowledge For Kids,
Who is the inventor of Television?,John Logie Baird,General Knowledge For Kids,
Which is the largest plateau in the world?,Tibetan Plateau,General Knowledge For Kids,
Which is the instrument used to measure Blood pressure?,Sphygmomanometer,General Knowledge For Kids,
What color symbolizes peace?,White,General Knowledge For Kids,
Who is the founder of Microsoft?,Bill Gates,General Knowledge For Kids,
During which year did World War I begin?,1914,General Knowledge For Kids,
How many Cricket world cups does India have?,2,General Knowledge For Kids,
Global warming is caused by the excess of which type of gas?,Carbon dioxide,General Knowledge For Kids,
How many cards are there in a complete pack of cards?,52,General Knowledge For Kids,
What is the name of the biggest rain forest in the world?,The Amazon,General Knowledge For Kids,
Which African nation is famous for chocolate?,Ghana,General Knowledge For Kids,
What makes up (approx ) 80% of our brain’s volume?,Water,General Knowledge For Kids,
Which instrument is used for measuring wind speed?,Anemometer,General Knowledge For Kids,
‘Stars and Stripes’ is the nickname of the flag of which country?,United States of America,General Knowledge For Kids,
Which language is used by the computer to process data?,Binary language,General Knowledge For Kids,
What covers approximately 71% of the Earth’s surface: Land or water?,Water,General Knowledge For Kids,
Which is the hardest substance available on earth?,Diamond,General Knowledge For Kids,
Which is the biggest desert in the world?,Sahara desert,General Knowledge For Kids,
Which country gifted The Statue of Liberty to the United States?,France,General Knowledge For Kids,
What is the name of the Greek God of music?,Apollo,General Knowledge For Kids,
What does the “SIM” in the SIM card stand for?,Subscriber Identity Module,General Knowledge For Kids,
Which is the first element on the periodic table of elements?,Hydrogen,General Knowledge For Kids,
Which is the longest written Constitution in the world?,India,General Knowledge For Kids,
What is the largest joint in the human body?,Knee,General Knowledge For Kids,
Which is the smallest bone in the human body?,Stapes (Ear bone),General Knowledge For Kids,
Which instrument is used to measure Atmospheric Pressure?,Barometer,General Knowledge For Kids,
Which is the largest continent in the world?,Asia,General Knowledge For Kids,
Who is the inventor of the electric Bulb?,Thomas Alva Edison,General Knowledge For Kids,
On whose memory Nobel Prize is awarded?,Alfred Nobel,General Knowledge For Kids,
Who is the first woman to go to space?,Valentina Tereshkova,General Knowledge For Kids,
What is HCl?,Hydrochloric acid,General Knowledge For Kids,
What is currency of China?,Renminbi,General Knowledge For Kids,
"Chameleons have extremely long tongues, sometimes as long as their bodies. True or False?",TRUE,General Knowledge For Kids,
An ostrich’s eye is bigger than its brain. True or False?,TRUE,General Knowledge For Kids,
A sneeze is faster than the blink of an eye. True or False?,TRUE,General Knowledge For Kids,
Pigs can look up into the sky. True or False?,False (They cannot),General Knowledge For Kids,
There are 9 planets in our Solar System. True or False?,False (Our Solar system has only 8 planets; Pluto is a dwarf planet),General Knowledge For Kids,
Mark Zuckerburg is the father of modern computers. True or False?,False (Charles Babbage is the father of modern computers),General Knowledge For Kids,
The egg of a Hummingbird is the smallest egg in the world. True or False?,TRUE,General Knowledge For Kids,
Frogs have to drink lots of water. True or False?,FALSE,General Knowledge For Kids,
Some animals can get sunburn. True or False?,"True (Animals like dogs, cats and cows can get sunburns at the tip of their noses and ears).",General Knowledge For Kids,
William Shakespeare is a scientist. True or False?,False (He is a dramatist),General Knowledge For Kids,
Whales have belly buttons. True or False?,TRUE,General Knowledge For Kids,
Sharks are color blind. True or False?,FALSE,General Knowledge For Kids,
Mumbai is the capital of India. True or False?,False (Delhi is the capital of India),General Knowledge For Kids,
Camels store water in their humps. True or False?,TRUE,General Knowledge For Kids,
Humans have four hearts. True or False?,False (Humans have one heart with four chambers),General Knowledge For Kids,
All tigers have yellow eyes. True or False?,TRUE,General Knowledge For Kids,
A pediatrician is a child specialist. True or False?,TRUE,General Knowledge For Kids,
Arachnophobia is the fear of dogs. True or False?,False (It is the fear of spiders),General Knowledge For Kids,
Dodo is an endangered bird. True or False?,False (Dodo is an extinct bird),General Knowledge For Kids,
Bhagat Singh is a Freedom fighter of India. True or False?,TRUE,General Knowledge For Kids,
Washington DC is the capital of China. True or False?,False (Beijing is the capital of China),General Knowledge For Kids,
June 5 is celebrated as Environment Day. True or False?,TRUE,General Knowledge For Kids,
"Laika, the dog is the first animal to go to space. True or False?",TRUE,General Knowledge For Kids,
Roman Calendar is named as Julian Calendar. True or False?,TRUE,General Knowledge For Kids,
There are 12 players in a cricket team. True or False?,False (There are 11 players in a cricket team),General Knowledge For Kids,
"Ball, Bat, Stump, Hockey stick. True or False?",Hockey stick,General Knowledge For Kids,
"Hen, Dove, Pigeon, Cat",Cat,General Knowledge For Kids,
"Hammer, Blacksmith, Carpenter, Cobbler",Hammer,General Knowledge For Kids,
"Jeep, Car, Bike, Boat",Boat,General Knowledge For Kids,
"Doctor, Surgeon, Nurse, Teacher",Teacher,General Knowledge For Kids,
"Mother, Father, Brother, Friend",Friend,General Knowledge For Kids,
"Earth, Mercury, Jupiter, Pluto",Pluto,General Knowledge For Kids,
"Cabbage, Potato, Capsicum, Tomato",Potato,General Knowledge For Kids,
"Pen, Pencil, Eraser, Ink Pen",Eraser,General Knowledge For Kids,
"Aeroplane, Helicopter, Ship, Jet",Ship,General Knowledge For Kids,
"Carrot, Mango, Banana, Apple",Carrot,General Knowledge For Kids,
"Cow, Lion, Dog, Cat",Lion,General Knowledge For Kids,
"2, 6, 7, 10",7,General Knowledge For Kids,
"P J  Abdul Kalaam, C V  Raman, Issac Newton, William Shakespeare",William Shakespeare,General Knowledge For Kids,
"Dispur, Pune, Patna, Shimla",Pune,General Knowledge For Kids,
"1, 2, 4, 5",4,General Knowledge For Kids,
"Asia, Europe, China, Australia",China,General Knowledge For Kids,
"Radio, Television, Loudspeaker, Stereo",Television,General Knowledge For Kids,
"Respiration, Digestion, Excretion, Photosynthesis",Photosynthesis,General Knowledge For Kids,
"Hydrogen, Hypochlorite, Helium, Lithium",Hypochlorite,General Knowledge For Kids,
"Noun, Pronoun, Articles, Adverb",Articles,General Knowledge For Kids,
"Throat, Tongue, Nose, Ears",Throat,General Knowledge For Kids,
